Pagina,ID,Visualizzazioni di pagina,Visualizzazioni di pagina uniche,Tempo medio sulla pagina,Accessi,Gender,Age,Device,
/bologna/ristorante/128870/la-bottega-di-franco,1,"1,267",883,42,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,2,"1,267",883,43,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,3,"1,267",883,44,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,4,"1,267",883,45,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,5,"1,267",883,46,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,6,"1,267",883,47,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,7,"1,267",883,48,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,8,"1,267",883,49,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,9,"1,267",883,50,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,10,"1,267",883,51,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,11,"1,267",883,52,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,12,"1,267",883,53,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,13,"1,267",883,54,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,14,"1,267",883,55,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,15,"1,267",883,56,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,16,"1,267",883,57,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,17,"1,267",883,58,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,18,"1,267",883,59,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,19,"1,267",883,60,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,20,"1,267",883,61,861,0,2,2,
/bologna/ristorante/128870/la-bottega-di-franco,21,"1,267",883,62,861,0,2,2,
